application_status,license_type,APPLICATION_CLASSIFICATION,APPLICATION_CLASSIFICATION - Split 1,APPLICATION_CLASSIFICATION - Split 2,APPROVED_LICENSE_TYPE,Approved_License_Stages,commence_operations_date,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,EIN_TIN,APPLICATION_NUMBER,SUBMITTED_DATE,FIRST_COMPLIANCE_REVIEW_DATE,LIC_FEE_PAYMENT_SUBMITTED_DATE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,LIC_START_DATE,LIC_EXPIRATION_DATE,ESTABLISHMENT_ADDRESS,ESTABLISHMENT_ADDRESS_2,ESTABLISHMENT_COUNTY,PMT_AMOUNT,LIC_FEE_AMOUNT,ZIP,Town,county,county_lat,county_long,Region,CCCUpdateDate
APPROVED,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PDO103400,Speedy Cannabis LLC,N/A,,N/A,,,339 River Street,,Fitchburg,MA,01420,,,339 River Street,,Fitchburg,MA,01420,87-3130552,PDOA103400,Tue Nov 29 2022 13:31:47 GMT-0500 (Eastern Standard Time),Thu Nov 17 2022 11:20:37 GMT-0500 (Eastern Standard Time),,,,SE305212,,,,,,,Not a DBE,,,,Wed Dec 30 2020 11:44:40 GMT-0500 (Eastern Standard Time),Mon Dec 12 2022 15:19:19 GMT-0500 (Eastern Standard Time),Mon Dec 12 2022 15:19:37 GMT-0500 (Eastern Standard Time),Mon Dec 12 2022 03:00:00 GMT-0500 (Eastern Standard Time),Thu Dec 12 2024 03:00:00 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,8/14/2023
APPROVED,Marijuana Product Manufacturer,Expedited Review - DBE Status,Expedited,DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP281725,"BWell Holdings, Inc",Provincetown,MA,02657,42.050932,-70.194397,45 Court Street,,Provincetown,MA,02657,POINT (-70.301811 41.698999),POINT (-70.194396 42.0509320),220 Commercial St,Unit 2,Provincetown,MA,02657,83-4427456,MPN281725,Thu Sep 24 2020 11:39:25 GMT-0400 (Eastern Daylight Time),Thu Jan 02 2020 00:00:00 GMT-0500 (Eastern Standard Time),Wed Dec 02 2020 15:40:40 GMT-0500 (Eastern Standard Time),,no,,,,,,,,"Lesbian, Gay, Bisexual, and Transgender Owned Business | Veteran-Owned Business | Woman-Owned Business",,,,Thu Jul 11 2019 10:35:42 GMT-0400 (Eastern Daylight Time),Thu Oct 01 2020 07:47:18 GMT-0400 (Eastern Daylight Time),Thu Nov 19 2020 16:15:05 GMT-0500 (Eastern Standard Time),Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Apr 17 2024 04:00:00 GMT-0400 (Eastern Daylight Time),45 Court St,N/A,Barnstable County,1500,10000,02657,Provincetown,Barnstable,41.698999,-70.301811,Southeast and Cape,9/5/2023
APPROVED,Marijuana Cultivator,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC281618,Emerald City Growers Incorporated,Clinton,MA,01510,42.426787,-71.68736,843 Main Street,,Clinton,MA,01510,POINT (-71.840209 42.329642),POINT (-71.687359 42.4267869),25 Juniper Street,,Billerica,MA,01862,83-2215618,MCN281618,Fri Aug 07 2020 15:27:08 GMT-0400 (Eastern Daylight Time),Fri Mar 20 2020 00:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,Woman-Owned Business,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,Mon Jul 23 2018 10:08:55 GMT-0400 (Eastern Daylight Time),Fri Aug 14 2020 07:27:17 GMT-0400 (Eastern Daylight Time),Thu Nov 19 2020 16:20:03 GMT-0500 (Eastern Standard Time),Thu Nov 18 2021 03:00:00 GMT-0500 (Eastern Standard Time),Wed Nov 30 2022 03:00:00 GMT-0500 (Eastern Standard Time),843 Main St,N/A,Worcester County,400,2500,01510,Clinton,Worcester,42.329642,-71.840209,Central MA,9/5/2023
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,3/31/2022,COMPLETE,MR283720,"Apical, Inc.",Northampton,MA,01060,42.324779,-72.633415,431 Westminster Street,,Westminster,MA,01420,POINT (-72.62073 42.322256),POINT (-72.633414 42.3247789),2611 Woodruff Road,Suite A,Spokane Valley,WA,99206,82-5135092,MRN283720,Tue Aug 31 2021 12:51:08 GMT-0400 (Eastern Daylight Time),Wed Nov 18 2020 14:16:59 GMT-0500 (Eastern Standard Time),Thu Dec 09 2021 16:34:19 GMT-0500 (Eastern Standard Time),True,no,,,,,APPROVED,RP201884,RP201884,Not a DBE,,,Thu Mar 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Sun Aug 02 2020 15:10:11 GMT-0400 (Eastern Daylight Time),Fri Sep 03 2021 10:06:10 GMT-0400 (Eastern Daylight Time),Thu Nov 18 2021 14:33:24 GMT-0500 (Eastern Standard Time),Thu Dec 08 2022 03:00:00 GMT-0500 (Eastern Standard Time),Sat Dec 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),144 King St,N/A,Hampshire County,1500,10000,01060,Northampton,Hampshire,42.322256,-72.62073,Western MA,9/5/2023
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,11/21/2022,COMPLETE,MR282634,"Misty Mountain Shop, LLC",Malden,MA,02148,42.416204,-71.076266,161 Boston Road,,Chelmsford,MA,01824,POINT (-71.275566 42.459085),POINT (-71.076266 42.416204),161 Boston Rd,,Chelmsford,MA,01824,83-4544652,MRN282634,Wed May 12 2021 19:03:59 GMT-0400 (Eastern Daylight Time),Thu Apr 22 2021 11:03:11 GMT-0400 (Eastern Daylight Time),Sun Sep 26 2021 16:30:11 GMT-0400 (Eastern Daylight Time),,no,,,,,,,,Not a DBE,,,Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Apr 23 2019 21:51:38 GMT-0400 (Eastern Daylight Time),Mon Jul 26 2021 09:25:48 GMT-0400 (Eastern Daylight Time),Fri Sep 17 2021 12:31:08 GMT-0400 (Eastern Daylight Time),Thu Aug 11 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Sep 26 2023 04:00:00 GMT-0400 (Eastern Daylight Time),323 Commercial St,N/A,Middlesex County,1500,10000,02148,Malden,Middlesex,42.459085,-71.275566,Northeast,9/5/2023
APPROVED,Marijuana Product Manufacturer,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MP281831,"Legal Greens, LLC",Brockton,MA,02301,42.085896,-71.022535,93 Pleasant St,,Brockton,MA,02301,POINT (-70.818958 41.978877),POINT (-71.022535 42.0858959),71 Legion Pkwy,suite 25,Brockton,MA,02301,83-0741086,MPN281831,Thu Oct 14 2021 13:16:31 GMT-0400 (Eastern Daylight Time),Wed Feb 05 2020 00:00:00 GMT-0500 (Eastern Standard Time),,True,no,,,,EEA202396,,,,Woman-Owned Business | Minority-Owned Business,,,,Fri Jan 24 2020 09:16:37 GMT-0500 (Eastern Standard Time),Fri Oct 15 2021 14:46:26 GMT-0400 (Eastern Daylight Time),Thu Jan 20 2022 15:41:34 GMT-0500 (Eastern Standard Time),,,93 Pleasant St,N/A,Plymouth County,1500,,02301,Brockton,Plymouth,41.978877,-70.818958,Southeast and Cape,9/5/2023
APPROVED,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PDO103189,The Magi Tree,N/A,,N/A,,,24 Irwin St,,Stoughton,MA,02072,,,24 Irwin St,,Stoughton,MA,02072,85-2583615,PDOA103189,Mon Oct 19 2020 14:15:04 GMT-0400 (Eastern Daylight Time),Thu Sep 24 2020 09:25:27 GMT-0400 (Eastern Daylight Time),,,,SE303730,,,,,,,Minority-Owned Business,,,,Mon Aug 17 2020 22:25:38 GMT-0400 (Eastern Daylight Time),Thu Oct 22 2020 16:01:42 GMT-0400 (Eastern Daylight Time),Mon Oct 26 2020 10:10:15 GMT-0400 (Eastern Daylight Time),Mon Oct 26 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Oct 26 2022 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,8/14/2023
APPROVED,Marijuana Product Manufacturer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,4/29/2019,COMPLETE,MP281410,"Good Chemistry of Massachusetts, Inc.",Bellingham,MA,02019,42.084663,-71.494814,20 Williams Way,,Bellingham,MA,02019,POINT (-71.15444 42.199156),POINT (-71.494814 42.0846629),50 Congress Street,Suite 420,Boston,MA,02109,46-3379588,MPN281410,Mon Jul 30 2018 14:56:58 GMT-0400 (Eastern Daylight Time),Tue Jul 10 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Nov 27 2018 14:11:28 GMT-0500 (Eastern Standard Time),True,,,,,,APPROVED,RP201817,RPA201817,Not a DBE,,,Thu Feb 21 2019 03:00:00 GMT-0500 (Eastern Standard Time),Tue Jun 19 2018 15:07:08 GMT-0400 (Eastern Daylight Time),Fri Aug 10 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Nov 20 2018 14:52:13 GMT-0500 (Eastern Standard Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Nov 30 2023 03:00:00 GMT-0500 (Eastern Standard Time),20 William Way,N/A,Norfolk County,300,5000,02019,Bellingham,Norfolk,42.199156,-71.15444,Central MA,9/5/2023
APPROVED,Marijuana Product Manufacturer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,12/15/2021,COMPLETE,MP281583,"Commonwealth Alternative Care, Inc.",Taunton,MA,02780,41.873199,-71.063782,30 Mozzone Boulevard,,Taunton,MA,02780,POINT (-71.102131 41.778329),POINT (-71.063782 41.873199),30 Mozzone Boulevard,,Taunton,MA,02780,37-1834779,MPN281583,Thu Jun 10 2021 09:21:32 GMT-0400 (Eastern Daylight Time),Mon Feb 11 2019 00:00:00 GMT-0500 (Eastern Standard Time),,True,no,,,,,APPROVED,RP201926,RP201926,Not a DBE,,,Thu Nov 18 2021 03:00:00 GMT-0500 (Eastern Standard Time),Fri Jan 25 2019 21:24:13 GMT-0500 (Eastern Standard Time),Fri Jun 25 2021 10:40:25 GMT-0400 (Eastern Daylight Time),Thu Aug 12 2021 13:57:11 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Aug 26 2024 04:00:00 GMT-0400 (Eastern Daylight Time),30 Mozzone Blvd,N/A,Bristol County,300,10000,02780,Taunton,Bristol,41.778329,-71.102131,Southeast and Cape,9/5/2023
APPROVED,Marijuana Cultivator,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC283659,CLCASH LLC,Belchertown,MA,01007,42.259495,-72.371467,401 Mill Valley Rd,,Belchertown,MA,01007,POINT (-72.62073 42.322256),POINT (-72.371466 42.2594950),401 Mill Valley Rd,,Belchertown,MA,01007,87-4688143,MCN283659,Fri Dec 09 2022 16:22:59 GMT-0500 (Eastern Standard Time),Thu Mar 31 2022 16:05:26 GMT-0400 (Eastern Daylight Time),,,no,,,,,,,,Minority-Owned Business,Indoor,"Tier 01: up to 5,000 square feet",,Thu Dec 02 2021 13:18:13 GMT-0500 (Eastern Standard Time),Fri Dec 16 2022 09:45:05 GMT-0500 (Eastern Standard Time),Thu Mar 09 2023 12:36:40 GMT-0500 (Eastern Standard Time),Tue Jun 20 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 20 2024 04:00:00 GMT-0400 (Eastern Daylight Time),401 Mill Valley Rd,N/A,Hampshire County,200,1250,01007,Belchertown,Hampshire,42.322256,-72.62073,Western MA,9/5/2023
APPROVED,Marijuana Microbusiness,Expedited Review - License Type,Expedited,License Type,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MB282233,Heart of Gold LLC,New Braintree,MA,01531,42.317712,-72.0589,1141 Worcester Road,,New Braintree,MA,01531,POINT (-71.840209 42.329642),POINT (-72.058899 42.317712),1225 Worcester Road,,New Braintree,MA,01531,86-2088059,MBN282233,Wed Aug 18 2021 11:13:11 GMT-0400 (Eastern Daylight Time),Mon Jun 14 2021 08:09:25 GMT-0400 (Eastern Daylight Time),,,no,,,,,,,,Woman-Owned Business,,,,Mon Feb 08 2021 15:03:10 GMT-0500 (Eastern Standard Time),Mon Aug 23 2021 14:56:40 GMT-0400 (Eastern Daylight Time),Thu Nov 18 2021 14:42:57 GMT-0500 (Eastern Standard Time),Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Jun 08 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1141 Worcester Rd,N/A,Worcester County,,5625,01531,New Braintree,Worcester,42.329642,-71.840209,Central MA,9/5/2023
APPROVED,Marijuana Delivery Operator,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MD1266,Shine Delivery LLC,Plainville,,02762,,,119 Washington Street,,Plainville,MA,02762,POINT (-71.15444 42.199156),,119 Washington Street,,Plainville,MA,02762,85-4275922,MDA1266,Tue Sep 14 2021 20:21:00 GMT-0400 (Eastern Daylight Time),Wed Sep 01 2021 14:02:47 GMT-0400 (Eastern Daylight Time),,,,SE303513,,,,,,,Not a DBE,,,,Mon Jul 12 2021 17:16:39 GMT-0400 (Eastern Daylight Time),Fri Sep 17 2021 09:30:51 GMT-0400 (Eastern Daylight Time),Thu Nov 18 2021 14:38:12 GMT-0500 (Eastern Standard Time),Thu Nov 18 2021 03:00:00 GMT-0500 (Eastern Standard Time),Fri Nov 18 2022 03:00:00 GMT-0500 (Eastern Standard Time),,,,,,02762,Plainville,Norfolk,42.199156,-71.15444,Central MA,8/14/2023
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,COMMENCE OPS,COMMENCE OPS,11/30/2021,COMPLETE,MR283143,Uma Flowers LLC,Pepperell,MA,01463,42.666424,-71.572797,109 Raffaele Drive,,Waltham,MA,02452,POINT (-71.275566 42.459085),POINT (-71.572796 42.6664239),109 Raffaele Drive,,Waltham,MA,02452,84-3613796,MRN283143,Mon May 11 2020 10:56:16 GMT-0400 (Eastern Daylight Time),Thu Mar 19 2020 00:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,Woman-Owned Business | Minority-Owned Business,,,Thu Oct 14 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Nov 23 2019 14:58:34 GMT-0500 (Eastern Standard Time),Thu May 21 2020 14:42:02 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 14:56:16 GMT-0400 (Eastern Daylight Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sun Jan 21 2024 03:00:00 GMT-0500 (Eastern Standard Time),2 Tarbell St,N/A,Middlesex County,1500,10000,01463,Pepperell,Middlesex,42.459085,-71.275566,Central MA,9/5/2023
APPROVED,Marijuana Cultivator,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC283739,Meed Cannabis LLC,Great Barrington,MA,01230,42.168603,-73.364302,964 Main Street,,Great Barrington,MA,01230,POINT (-73.209889 42.396128),POINT (-73.364301 42.1686029),"831 Beacon Street, #271",,Newton Center,MA,02459,87-1159574,MCN283739,Thu Sep 22 2022 09:16:05 GMT-0400 (Eastern Daylight Time),Fri Jun 10 2022 14:41:16 GMT-0400 (Eastern Daylight Time),Mon Dec 19 2022 10:44:10 GMT-0500 (Eastern Standard Time),,no,,,,,,,,Not a DBE,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,Thu May 12 2022 10:35:03 GMT-0400 (Eastern Daylight Time),Fri Oct 07 2022 11:40:48 GMT-0400 (Eastern Daylight Time),Thu Dec 08 2022 14:42:04 GMT-0500 (Eastern Standard Time),Mon Dec 19 2022 03:00:00 GMT-0500 (Eastern Standard Time),Tue Dec 19 2023 03:00:00 GMT-0500 (Eastern Standard Time),964 Main St,Parcel B,Berkshire County,400,2500,01230,Great Barrington,Berkshire,42.396128,-73.209889,Western MA,9/5/2023
APPROVED,Marijuana Cultivator,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,9/17/2021,COMPLETE,MC281929,MassMedicum Corp.,Holbrook,MA,02343,42.151976,-71.025538,1 Mear Road,,Holbrook,MA,02343,POINT (-71.15444 42.199156),POINT (-71.025537 42.1519759),1 Mear Road,,Holbrook,MA,02343,46-3326624,MCN281929,Mon Dec 23 2019 11:03:12 GMT-0500 (Eastern Standard Time),Mon Dec 02 2019 00:00:00 GMT-0500 (Eastern Standard Time),,True,,,,,,APPROVED,RP201935,RP201935,Not a DBE,Indoor,"Tier 07: 50,001 to 60,000 sq. ft",Thu Aug 12 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Jan 15 2019 14:02:06 GMT-0500 (Eastern Standard Time),Wed Jan 15 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 09 2020 15:23:21 GMT-0400 (Eastern Daylight Time),Thu Aug 12 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Aug 14 2022 04:00:00 GMT-0400 (Eastern Daylight Time),1 Mear Rd,N/A,Norfolk County,2000,30000,02343,Holbrook,Norfolk,42.199156,-71.15444,Southeast and Cape,9/5/2023
APPROVED,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PDO103577,Gas Bus LLC,N/A,,N/A,,,321 West Grove St,,Middleboro,MA,02346,,,65 Everett St,,Middleboro,MA,02346,85-1367777,PDOA103577,Tue Sep 13 2022 04:30:31 GMT-0400 (Eastern Daylight Time),Wed Aug 17 2022 08:52:23 GMT-0400 (Eastern Daylight Time),,,,SE306290,,,,,,,Not a DBE,,,,Sun Nov 28 2021 13:28:52 GMT-0500 (Eastern Standard Time),Tue Sep 27 2022 13:34:54 GMT-0400 (Eastern Daylight Time),Wed Sep 28 2022 13:36:33 GMT-0400 (Eastern Daylight Time),Wed Sep 28 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Sep 28 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,8/14/2023
APPROVED,Marijuana Product Manufacturer,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP282090,Faded LLC,Leicester,MA,01611,42.224182,-71.871674,488 Stafford Street,,Leicester,MA,01611,POINT (-71.840209 42.329642),POINT (-71.871673 42.2241819),30 Hemlock Street,,Brockton,MA,02302,85-1438831,MPN282090,Mon Aug 30 2021 14:58:14 GMT-0400 (Eastern Daylight Time),Thu Jul 29 2021 09:19:20 GMT-0400 (Eastern Daylight Time),Mon Nov 08 2021 11:00:40 GMT-0500 (Eastern Standard Time),,yes,SE304880,,,,,,,Woman-Owned Business | Minority-Owned Business | Disability-Owned Business,,,,Mon Jun 21 2021 23:18:52 GMT-0400 (Eastern Daylight Time),Fri Sep 03 2021 10:43:41 GMT-0400 (Eastern Daylight Time),Thu Oct 14 2021 13:08:12 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Nov 08 2023 03:00:00 GMT-0500 (Eastern Standard Time),488 Stafford St,N/A,Worcester County,,5000,01611,Cherry Valley,Worcester,42.329642,-71.840209,,9/5/2023
APPROVED,Independent Testing Laboratory,Expedited Review - License Type,Expedited,License Type,COMMENCE OPS,COMMENCE OPS,3/21/2022,COMPLETE,IL281290,Massbiolytics Corp,Dracut,MA,01826,42.703312,-71.250033,"20 Commercial Drive, Ste  2001",,Dracut,MA,01826,POINT (-71.275566 42.459085),POINT (-71.250033 42.7033119),"20 Commercial Drive, Ste  2001",,Dracut,MA,01826,83-2161995,ILN281290,Fri Mar 27 2020 11:27:45 GMT-0400 (Eastern Daylight Time),Mon Jan 06 2020 00:00:00 GMT-0500 (Eastern Standard Time),,,,,,,,,,,Not a DBE,,,Thu Nov 18 2021 03:00:00 GMT-0500 (Eastern Standard Time),Tue Jul 03 2018 14:52:10 GMT-0400 (Eastern Daylight Time),Tue Apr 07 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 04 2020 14:31:52 GMT-0400 (Eastern Daylight Time),Thu Mar 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sun Mar 10 2024 04:00:00 GMT-0400 (Eastern Daylight Time),20 Commercial Dr,N/A,Middlesex County,1500,10000,01826,Dracut,Middlesex,42.459085,-71.275566,Northeast,9/5/2023
APPROVED,Marijuana Product Manufacturer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP282083,EC Developments,Greenfield,MA,01301,42.650917,-72.561356,1385 Bernardston Road,,Greenfield,MA,01301,POINT (-72.573941 42.587072),POINT (-72.561356 42.650917),1385 Classic Court,Unit 330,Mount Pleasant,SC,29466,87-0898962,MPN282083,Thu Oct 28 2021 15:07:54 GMT-0400 (Eastern Daylight Time),Thu Aug 05 2021 10:58:18 GMT-0400 (Eastern Daylight Time),,,no,,,,,,,,Not a DBE,,,,Thu May 27 2021 08:20:49 GMT-0400 (Eastern Daylight Time),Fri Oct 29 2021 14:11:55 GMT-0400 (Eastern Daylight Time),Thu Jan 20 2022 15:31:28 GMT-0500 (Eastern Standard Time),Fri Apr 22 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Apr 22 2023 04:00:00 GMT-0400 (Eastern Daylight Time),1385 Bernardston Rd,N/A,Franklin County,1500,10000,01301,Greenfield,Franklin,42.587072,-72.573941,Western MA,9/5/2023
APPROVED,Marijuana Cultivator,General Applicant,General Applicant,General Applicant,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MC283584,Victoria Frost LLC,Holyoke,MA,01040,42.192706,-72.615112,679-689 Main St.,,Holyoke,MA,01040,POINT (-72.571312 42.12756),POINT (-72.615111 42.1927060),263 Westerly Circle,,Ludlow,MA,01056,85-4037468,MCN283584,Tue Dec 21 2021 10:57:29 GMT-0500 (Eastern Standard Time),Thu Oct 28 2021 13:51:28 GMT-0400 (Eastern Daylight Time),,,no,,,,,,,,Minority-Owned Business,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,Mon Aug 30 2021 16:02:16 GMT-0400 (Eastern Daylight Time),Thu Dec 23 2021 14:51:48 GMT-0500 (Eastern Standard Time),Thu Mar 10 2022 13:49:04 GMT-0500 (Eastern Standard Time),,,689 Main St,N/A,Hampden County,400,,01040,Holyoke,Hampden,42.12756,-72.571312,Western MA,9/5/2023
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,3/11/2021,COMPLETE,MR283040,"Turning Leaf Centers Northampton, LLC",Northampton,MA,01060,42.33138,-72.633972,261 King Street,,Northampton,MA,01060,POINT (-72.62073 42.322256),POINT (-72.633972 42.3313800),PO Box 1328,,East Otis,MA,01029,00-1403270,MRN283040,Tue Jun 30 2020 13:02:34 GMT-0400 (Eastern Daylight Time),Wed Mar 04 2020 00:00:00 GMT-0500 (Eastern Standard Time),,,,,,,,,,,Not a DBE,,,Thu Feb 11 2021 03:00:00 GMT-0500 (Eastern Standard Time),Wed Oct 09 2019 14:56:14 GMT-0400 (Eastern Daylight Time),Tue Jul 07 2020 11:24:20 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 13:56:33 GMT-0400 (Eastern Daylight Time),Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Sep 18 2023 04:00:00 GMT-0400 (Eastern Daylight Time),261 King St,N/A,Hampshire County,1500,10000,01060,Northampton,Hampshire,42.322256,-72.62073,Western MA,9/5/2023
APPROVED,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PDO103039,Zip Run,N/A,,N/A,,,160 Orlando street,,Mattapan,MA,02126,,,160 Orlando street,,Mattapan,MA,02126,84-1868442,PDOA103039,Thu Jun 18 2020 14:47:22 GMT-0400 (Eastern Daylight Time),Wed Jun 10 2020 04:00:00 GMT-0400 (Eastern Daylight Time),,,,SE303983,,,,,,,Not a DBE | Minority-Owned Business,,,,Thu May 28 2020 19:57:42 GMT-0400 (Eastern Daylight Time),Fri Jun 26 2020 11:32:41 GMT-0400 (Eastern Daylight Time),Tue Jun 30 2020 09:25:52 GMT-0400 (Eastern Daylight Time),Tue Jun 30 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 30 2022 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,8/14/2023
APPROVED,Marijuana Product Manufacturer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP281764,"Coastal Cultivars, LLC",Wareham,MA,02576,41.783242,-70.748025,399 Boylston St.,Sixth Floor,Boston,MA,02116,POINT (-70.818958 41.978877),POINT (-70.748024 41.7832420),399 Boylston St.,Sixth Floor,Boston,MA,02116,83-2354890,MPN281764,Thu Nov 05 2020 18:44:39 GMT-0500 (Eastern Standard Time),Fri Oct 02 2020 09:26:09 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,Minority-Owned Business,,,,Thu Sep 26 2019 15:17:19 GMT-0400 (Eastern Daylight Time),Fri Nov 06 2020 12:59:19 GMT-0500 (Eastern Standard Time),Thu Jan 14 2021 15:25:09 GMT-0500 (Eastern Standard Time),Thu Feb 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Sat Feb 11 2023 03:00:00 GMT-0500 (Eastern Standard Time),,N/A,Plymouth County,1500,10000,02576,West Wareham,Plymouth,41.978877,-70.818958,,9/5/2023
