application_status,license_type,APPLICATION_CLASSIFICATION,APPROVED_LICENSE_TYPE,Approved_License_Stages,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,EIN_TIN,APPLICATION_NUMBER,ORIGINAL_SUBMITTED_DATE,SUBMITTED_DATE,FIRST_COMPLIANCE_REVIEW_DATE,LIC_FEE_PAYMENT_SUBMITTED_DATE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,APPROVED_SOCIAL_EQUITY,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,dbe,cultivation_environment,cultivation_tier,CNB_INITIAL_DATE_OF_REVIEW,CNB_DATE_NOTICE_SENT_TO_MUNICIPALITY,CNB_60_DAY_MUNICIPAL_DEADLINE_DATE,CNB_90_DAY_REVIEW_DEADLINE_DATE,CNB_DATE_BACKGROUND_AUTHORIZATION_SENT,CNB_DATE_BACKGROUND_REPORT_RECEIVED,CNB_FINGER_PRINT_RESULTS_RECEIVED_DATE,CNB_FINAL_APPLICATION_REVIEW,CNB_APPLICATION_RECOMMENDATION,CNB_FINAL_INSPECTION_RESULT,CNB_FINAL_LICENSE_RECOMMENDATION,cnb_dt_of_final_licensure,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,LIC_START_DATE,LIC_EXPIRATION_DATE,APPLICATION_DENIED_DATE,CCCUpdateDate,ESTABLISHMENT_ADDRESS,ESTABLISHMENT_ADDRESS_2,ESTABLISHMENT_COUNTY,PMT_AMOUNT,LIC_FEE_AMOUNT,ZIP,Town,county,county_lat,county_long,Region,ID
REOPENED,Marijuana Transporter with Other Existing ME License,,IN PROCESS,IN PROCESS,INCOMPLETE,MX281404,SafeTiva Labs,Westfield,,01085,,,109 Apremont Way,,Westfield,MA,01085,POINT (-72.571312 42.12756),,109 Apremont Way,,Westfield,MA,01085,85-2250327,MXN281404,2/14/2022 03:00:33 PM,2/14/2022 03:00:33 PM,,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,1/17/2022 02:54:02 PM,,,,,,,,,,,0,01085,Westfield,Hampden,42.12756,-72.571312,Western MA,59
PENDING,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284871,CATDOGG LLC,Mashpee,MA,02649,41.604257,-70.495468,800 Falmouth Road,,Mashpee,MA,02649,POINT (-70.301811 41.698999),POINT (-70.495468 41.6042569),565 Whistleberry Drive,,Marstons Mills,MA,02648,92-1109731,MRN284871,2/6/2023 11:22:48 AM,3/9/2023 03:36:16 PM,2/7/2023 09:16:39 AM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,2/3/2023 03:59:20 PM,3/17/2023 08:56:30 AM,,,,,4/24/2023,800 Falmouth Rd,N/A,Barnstable County,,0,02649,Mashpee,Barnstable,41.698999,-70.301811,Southeast and Cape,636
REOPENED,Microbusiness Delivery,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,DE201013,"Bailey's Buds, LLC",N/A,,N/A,,,68 Marshall street,,Watertown,MA,02472,,,1935 Lakeview Ave,,Dracut,MA,01826,84-3353133,DEN201013,6/30/2022 05:34:54 PM,7/21/2022 02:32:32 PM,7/20/2022 10:57:36 AM,,,,SE304133,SE304133,,,,,,,,,,,,,,,,,,,,,,7/27/2020 02:58:06 PM,,,,,,,,,,,0,,,,,,,
REOPENED,Marijuana Cultivator,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MC282485,"Tripps Tree Farm, LLC",Heath,,01346,,,64 Taylor Brook Rd,,Heath,MA,01346,POINT (-72.573941 42.587072),,4833 Washington St,2R,West Roxbury,MA,02132,84-3678259,MCN282485,3/7/2020 05:41:00 PM,5/4/2020 12:35:26 PM,3/9/2020 12:00:00 AM,,,,,SE303970,,,,,,,Not a DBE,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,,11/11/2019 02:33:59 PM,,,,,,,,,,,0,01346,Heath,Franklin,42.587072,-72.573941,Western MA,144
REOPENED,Marijuana Cultivator,Priority Review - MTC Priority,IN PROCESS,IN PROCESS,INCOMPLETE,MC281810,"Verdant Medical, Inc.",Rowley,,01969,,,44 Schuyler St,,Boston,MA,02121,POINT (-70.970827 42.635475),,44 Schuyler St,,Boston,MA,02121,81-4961833,MCN281810,1/11/2019 01:23:42 PM,8/1/2019 05:26:50 PM,1/24/2019 12:00:00 AM,,True,,,,,,,APPROVED,RP201927,RP201927,Not a DBE,Indoor,"Tier 07: 50,001 to 60,000 sq. ft",,,,,,,,,,,,,11/22/2018 07:28:20 PM,5/15/2019 12:00:00 AM,,,,,,,,,,0,01969,Rowley,Essex,42.635475,-70.970827,Northeast,373
PENDING,Marijuana Delivery Operator,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MD1288,Green Speed Delivery Inc.,Athol,,01331,,,226 South Main Street,,Fall River,MA,02721,POINT (-71.840209 42.329642),,226 South Main Street,,Fall River,MA,02721,87-0930605,MDA1288,2/28/2022 06:54:57 PM,8/8/2022 09:38:27 AM,3/21/2022 10:17:06 AM,,,,SE305147,SE305147,,,,,,,Not a DBE,,,,,,,,,,,,,,,11/15/2021 03:26:10 PM,,,,,,,,,,,0,01331,Athol,Worcester,42.329642,-71.840209,Western MA,135
REOPENED,Marijuana Retailer,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284843,Stone's Throw Cannabis LLC d/b/a Firebrand Cannabis,Boston,,02111,,,100 State Street,,9th Floor,MA,02109,POINT (-71.073493 42.334948),,100 State Street,,9th Floor,MA,02109,87-3166009,MRN284843,12/23/2022 09:49:08 PM,3/16/2023 01:12:13 PM,1/4/2023 12:26:59 PM,,True,yes,EE201902,,,,EE201902,,,,Not a DBE,,,,,,,,,,,,,,,12/23/2022 08:09:28 PM,,,,,,,,,,,0,02111,Boston,Suffolk,42.334948,-71.073493,Metro Boston,422
REOPENED,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,PDO103386,Goddess Of Green Craft Cannabis,N/A,,N/A,,,152 Belleville Ave.,,New Bedford,MA,02746,,,160 belleville ave.,,new bedford,MA,02746,00-1532905,PDOA103386,10/7/2021 01:03:02 AM,10/7/2021 01:03:02 AM,10/18/2021 11:53:21 AM,,,,SE303780,SE303780,,,,,,,Disability-Owned Business | Minority-Owned Business | Woman-Owned Business,,,,,,,,,,,,,,,12/17/2020 03:01:34 PM,,,,,,,,,,,0,,,,,,,
REOPENED,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC283849,Burn Bright LLC,Holyoke,,01040,,,1 Cabot Street Unit #8,,Holyoke,MA,01040,POINT (-72.571312 42.12756),,1 Cabot Street Unit #8,,Holyoke,MA,01040,32-0702878,MCN283849,4/6/2023 12:59:52 PM,4/6/2023 12:59:52 PM,4/19/2023 08:43:25 AM,,,no,,,,,,,,,Not a DBE,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,3/5/2023 10:59:47 AM,,,,,,,,,,,0,01040,Holyoke,Hampden,42.12756,-72.571312,Western MA,31
REOPENED,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,PMD6046,Canna Dash Holdings LLC,N/A,,N/A,,,138 Otis Stage Rd.,,Blandford,MA,01008,,,138 Otis Stage Rd.,,Blandford,MA,01008,85-4119597,PMDA6046,11/8/2022 04:18:50 PM,11/8/2022 04:18:50 PM,11/18/2022 04:04:11 PM,,,,SE304491,,,,,,,,Not a DBE,,,,,,,,,,,,,,,11/2/2022 12:27:24 PM,,,,,,,,,,,0,,,,,,,
PENDING,Marijuana Delivery Operator,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MD1301,"ON ROOT, LLC",Lynn,,01902,,,82 SANDERSON AVENUE,,LYNN,MA,02149,POINT (-70.970827 42.635475),,105 UNION STREET,,EVERETT,MA,02149,35-2738465,MDA1301,4/12/2023 03:59:32 AM,4/12/2023 03:59:32 AM,,,,,SE305692,SE305692,,,,,,,Minority-Owned Business,,,,,,,,,,,,,,,3/7/2022 07:09:34 PM,,,,,,,,,,,0,01902,Lynn,Essex,42.635475,-70.970827,Northeast,343
REOPENED,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284812,Euphoric Bliss Inc.,Boston,,02114,,,90 Canal St,4th Floor,Boston,MA,02114,POINT (-71.073493 42.334948),,90 Canal St,4th Floor,Boston,MA,02114,87-4781626,MRN284812,11/10/2022 02:48:38 PM,11/10/2022 02:48:38 PM,12/1/2022 02:17:44 PM,,,no,,,,,,,,,Veteran-Owned Business,,,,,,,,,,,,,,,11/10/2022 01:17:05 PM,,,,,,,,,,,0,02114,Boston,Suffolk,42.334948,-71.073493,Metro Boston,425
REOPENED,Marijuana Retailer,Expedited Review - DBE Status,IN PROCESS,IN PROCESS,INCOMPLETE,MR284796,Porter Square Remedies LLC,Cambridge,,02140,,,1908 Massachusetts Avenue,,Cambridge,MA,02140,POINT (-71.275566 42.459085),,2408 Princeton Way,,Westford,MA,01886,87-2075276,MRN284796,11/22/2022 03:43:29 PM,11/22/2022 03:43:29 PM,12/7/2022 08:36:17 AM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,10/25/2022 01:37:14 PM,,,,,,,,,,,0,02140,Cambridge,Middlesex,42.459085,-71.275566,Metro Boston,451
REOPENED,Marijuana Retailer,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284297,"Fiji Tree of Life, LLC",Bellingham,,02019,,,67 Forest Street,Suite 270 #375,Marlborough,MA,01752,POINT (-71.15444 42.199156),,67 Forest St,,Marlbrough,MA,07152,85-4274552,MRN284297,9/8/2021 09:20:10 PM,9/8/2021 09:20:10 PM,9/13/2021 02:21:23 PM,,,yes,SE305195,SE305195,,,,,,,Veteran-Owned Business | Minority-Owned Business,,,,,,,,,,,,,,,6/26/2021 10:56:44 AM,,,,,,,,,,,0,02019,Bellingham,Norfolk,42.199156,-71.15444,Central MA,381
REOPENED,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284689,"New England Craft Cultivators, LLC",Groton,,01450,,,113 George Street,,Boston,MA,02119,POINT (-71.275566 42.459085),,113 George Street,c/o Wes Ritchie,Boston,MA,02119,83-4497618,MRN284689,9/26/2022 04:33:54 PM,9/26/2022 04:33:54 PM,10/21/2022 01:24:10 PM,,,no,,,,,,,,,"Lesbian, Gay, Bisexual, and Transgender Owned Business",,,,,,,,,,,,,,,6/9/2022 04:10:34 PM,,,,,,,,,,,0,01450,Groton,Middlesex,42.459085,-71.275566,Central MA,172
REOPENED,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,PMD5877,"Verdant Reparative, Inc.",N/A,,N/A,,,37 Schuyler Street,,Dorchester,MA,02121,,,37 Schuyler Street,,Dorchester,MA,02121,84-1991433,PMDA5877,9/1/2021 04:18:56 PM,7/31/2022 11:26:31 AM,9/9/2021 12:44:27 PM,,True,,SE304957,,,,,APPROVED,RP201927,,Not a DBE,,,,,,,,,,,,,,,6/18/2021 11:44:15 AM,,,,,,,,,,,0,,,,,,,
PENDING,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC283859,JMJ HOLDINGS CORPORATION,Lanesborough,,01237,,,100 State Street,9th Floor,Boston,MA,02109,POINT (-73.209889 42.396128),,100 State Street,9th Floor,Boston,MA,02109,88-2503181,MCN283859,4/14/2023 03:44:35 PM,4/14/2023 03:44:35 PM,,,,no,,,,,,,,,Not a DBE,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",,,,,,,,,,,,,4/7/2023 04:17:25 PM,,,,,,,,,,,0,01237,Lanesboro,Berkshire,42.396128,-73.209889,,109
REOPENED,Marijuana Delivery Operator Pre-Certification,Priority Review - Economic Empowerment Priority,IN PROCESS,IN PROCESS,INCOMPLETE,PMD5875,"North East Gro, LLC.",N/A,,N/A,,,888 Morton Street,,Boston,MA,02124,,,34 Larchmont Street,,Boston,MA,02124,00-1392220,PMDA5875,10/15/2021 01:20:18 PM,10/15/2021 01:20:18 PM,10/19/2021 04:29:14 PM,,True,,SE303585,SE303585,APPROVED,EE202222,,,,,Not a DBE,,,,,,,,,,,,,,,6/17/2021 06:57:09 AM,,,,,,,,,,,0,,,,,,,
REOPENED,Marijuana Retailer,Priority Review - MTC Priority,IN PROCESS,IN PROCESS,INCOMPLETE,MR281936,"Verdant Medical, Inc.",Rowley,,01969,,,"711 Atlantic Ave, Lower Level",,Boston,MA,02111,POINT (-70.970827 42.635475),,"711 Atlantic Ave, Lower Level",,Boston,MA,02111,81-4961833,MRN281936,1/11/2019 01:26:28 PM,8/1/2019 05:21:22 PM,1/25/2019 12:00:00 AM,,True,,,,,,,APPROVED,RP201927,RP201927,Not a DBE,,,,,,,,,,,,,,,9/30/2018 08:34:28 PM,5/15/2019 12:00:00 AM,,,,,,,,,,0,01969,Rowley,Essex,42.635475,-70.970827,Northeast,373
PENDING,Marijuana Product Manufacturer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MP282270,JMJ HOLDINGS CORPORATION,Lanesborough,,01237,,,100 State Street,9th Floor,Boston,MA,02109,POINT (-73.209889 42.396128),,100 State Street,9th Floor,Boston,MA,02109,88-2503181,MPN282270,4/14/2023 03:45:00 PM,4/14/2023 03:45:00 PM,,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,4/7/2023 04:17:48 PM,,,,,,,,,,,0,01237,Lanesboro,Berkshire,42.396128,-73.209889,,109
REOPENED,Marijuana Delivery Operator Pre-Certification,Expedited Review - Two or More,IN PROCESS,IN PROCESS,INCOMPLETE,PMD5826,Evokanna Grow LLC,N/A,,N/A,,,14 South Pleasant Street,,Ashburnham,MA,01430,,,14 South Pleasant Street,,Ashburnham,MA,01430,85-3468844,PMDA5826,5/28/2021 04:29:11 PM,4/13/2022 11:24:32 AM,6/17/2021 09:38:30 AM,,,,SE304359,SE304359,,,,,,,Minority-Owned Business,,,,,,,,,,,,,,,5/28/2021 03:38:27 PM,,,,,,,,,,,0,,,,,,,
PENDING,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284801,"CTDW Beverly, LLC",Beverly,MA,01915,42.543872,-70.881432,3 Dodge Street,,Salem,MA,01970,POINT (-70.970827 42.635475),POINT (-70.881432 42.543872),3 Dodge Street,,Salem,MA,01970,88-4233104,MRN284801,1/26/2023 01:19:48 PM,2/28/2023 06:33:32 PM,1/31/2023 04:30:17 PM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,11/2/2022 10:56:52 AM,3/3/2023 09:18:45 AM,,,,,4/24/2023,73 Cabot St,N/A,Essex County,,0,01915,Beverly,Essex,42.635475,-70.970827,Northeast,352
REOPENED,Marijuana Product Manufacturer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MP282073,"Rise Holdings, Inc.",Holyoke,,01040,,,100 Water Street,,Holyoke,MA,01040,POINT (-72.571312 42.12756),,28 Appleton Street,,Holyoke,MA,01040,81-3787505,MPN282073,11/3/2021 12:45:08 PM,11/3/2021 12:45:08 PM,11/12/2021 09:38:08 AM,,True,no,,,,,,APPROVED,RP201870,RP201870,Not a DBE,,,,,,,,,,,,,,,5/6/2021 04:27:34 PM,,,,,,,,,,,0,01040,Holyoke,Hampden,42.12756,-72.571312,Western MA,31
REOPENED,Marijuana Cultivator,Expedited Review - License Type,IN PROCESS,IN PROCESS,INCOMPLETE,MC282208,Northeast Cultivation LLC,Pittsfield,,01201,,,45 Bodwell St,,Avon,MA,02322,POINT (-73.209889 42.396128),,45 Bodwell St,,Avon,MA,02322,84-2044971,MCN282208,11/25/2019 08:28:45 AM,3/13/2020 11:41:09 AM,12/5/2019 12:00:00 AM,,,,,,,,,,,,Minority-Owned Business,Outdoor,"Tier 11: 90,001 to 100,000 sq. ft",,,,,,,,,,,,,6/13/2019 08:05:00 AM,3/19/2020 12:00:00 AM,,,,,,,,,,0,01201,Pittsfield,Berkshire,42.396128,-73.209889,Western MA,95
PENDING,Marijuana Courier,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,DO100179,"ON ROOT, LLC",Lynn,,01902,,,82 SANDERSON AVENUE,,LYNN,MA,01902,POINT (-70.970827 42.635475),,105 UNION STREET,,EVERETT,MA,02149,35-2738465,DOA100179,4/12/2023 04:45:50 AM,4/12/2023 04:45:50 AM,,,,,SE305692,SE305692,,,,,,,Minority-Owned Business,,,,,,,,,,,,,,,4/12/2023 04:01:38 AM,,,,,,,,,,,0,01902,Lynn,Essex,42.635475,-70.970827,Northeast,343
REOPENED,Third Party Marijuana Transporter,Expedited Review - DBE Status,IN PROCESS,IN PROCESS,INCOMPLETE,MT281718,Abundant Transports LLC,Northampton,,01060,,,90 Conz St. #219K,,Northampton,MA,01060,POINT (-72.62073 42.322256),,463 Pleasant St,,East Bridgewater,MA,02333,92-1450826,MTN281718,3/28/2023 06:21:49 PM,3/28/2023 06:21:49 PM,3/30/2023 04:37:46 PM,,,no,,,,,,,,,Minority-Owned Business,,,,,,,,,,,,,,,3/28/2023 03:03:51 PM,,,,,,,,,,,0,01060,Northampton,Hampshire,42.322256,-72.62073,Western MA,39
PENDING,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284839,GVLP Corporation,Chelsea,MA,02150,42.404771,-71.029609,320 Revere Beach Parkway,,Chelsea,MA,02150,POINT (-71.073493 42.334948),POINT (-71.029608 42.4047709),311 Dale Street,,North Andover,MA,01845,87-3577419,MRN284839,1/24/2023 11:07:25 AM,3/3/2023 07:35:08 AM,1/30/2023 04:30:44 PM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,12/16/2022 01:22:24 PM,3/3/2023 10:47:30 AM,,,,,4/24/2023,320 Revere Beach Pkwy,N/A,Suffolk County,,0,02150,Chelsea,Suffolk,42.334948,-71.073493,Metro Boston,459
PENDING,Marijuana Cultivator,Expedited Review - Two or More,IN PROCESS,IN PROCESS,INCOMPLETE,MC283581,Bred Genetics Inc,Colrain,,01340,,,63 Pond St,Unit 9,Sharon,MA,02067,POINT (-72.573941 42.587072),,63 Pond St,Unit 9,Sharon,MA,02067,88-3735968,MCN283581,5/2/2022 06:13:44 PM,4/10/2023 11:11:38 AM,5/10/2022 10:39:06 AM,,,yes,SE305504,SE305504,,,,,,,Not a DBE,Outdoor,"Tier 05: 30,001 to 40,000 sq. ft",,,,,,,,,,,,,8/27/2021 02:29:55 PM,,,,,,,,,,,0,01340,Colrain,Franklin,42.587072,-72.573941,Western MA,139
REOPENED,Marijuana Product Manufacturer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MP282267,"Arefa, LLC",Leicester,,01611,,,424 Main St.,,Leicester,MA,01611,POINT (-71.840209 42.329642),,41 Midgley Ln.,,Worcester,MA,01604,86-2576808,MPN282267,3/7/2023 12:24:35 PM,3/7/2023 12:24:35 PM,,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,3/3/2023 03:35:42 PM,,,,,,,,,,,0,01611,Cherry Valley,Worcester,42.329642,-71.840209,,254
REOPENED,Marijuana Microbusiness,Expedited Review - Two or More,IN PROCESS,IN PROCESS,INCOMPLETE,MB282404,Safe-Lyfe LLC,Framingham,,01701,,,160 SPEEN STREET STE 307,,FRAMINGHAM,MA,01701,POINT (-71.275566 42.459085),,12 LORENZO STREET APT 3,,BOSTON,MA,02122,88-1649224,MBN282404,5/3/2022 10:20:39 AM,5/3/2022 10:20:39 AM,5/20/2022 09:15:25 AM,,,yes,SE305510,,,,,,,,Woman-Owned Business | Minority-Owned Business,,,,,,,,,,,,,,,4/28/2022 03:27:37 PM,,,,,,,,,,,0,01701,Framingham,Middlesex,42.459085,-71.275566,Central MA,262
PENDING,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284652,"Kur Retailers, LLC",Springfield,,01109,,,46 Moore St,,E. Longmeadow,MA,01028,POINT (-72.571312 42.12756),,2611 Woodruff Rd,,Spokane,WA,99206,86-2696634,MRN284652,6/6/2022 01:04:11 PM,4/20/2023 02:02:26 PM,6/23/2022 10:45:32 AM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,5/6/2022 01:52:37 PM,,,,,,,,,,,0,01109,Springfield,Hampden,42.12756,-72.571312,Western MA,79
REOPENED,Third Party Marijuana Transporter,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MT281657,FASTEDDYBOSTON LLC,Lowell,,01852,,,24 RICHMOND AVE,,LOWELL,MA,01852,POINT (-71.275566 42.459085),,24 RICHMOND AVE,,LOWELL,MA,01852,83-3222324,MTN281657,10/7/2021 05:33:19 PM,10/7/2021 05:33:19 PM,,,,yes,SE305297,SE305297,,,,,,,Woman-Owned Business,,,,,,,,,,,,,,,5/15/2021 12:38:33 PM,,,,,,,,,,,0,01852,Lowell,Middlesex,42.459085,-71.275566,Northeast,322
REOPENED,Marijuana Product Manufacturer,Expedited Review - DBE Status,IN PROCESS,IN PROCESS,INCOMPLETE,MP281998,"Exotica Farms, LLC",Holyoke,,01040,,,5 APPLETON STREET,,HOLYOKE,MA,01040,POINT (-72.571312 42.12756),,5 APPLETON STREET,,HOLYOKE,MA,01040,84-5129343,MPN281998,1/22/2021 03:52:41 PM,2/16/2021 11:51:16 PM,1/29/2021 09:20:09 AM,,,no,,,,,,,,,Minority-Owned Business,,,,,,,,,,,,,,,12/16/2020 08:34:04 AM,,,,,,,,,,,0,01040,Holyoke,Hampden,42.12756,-72.571312,Western MA,31
REOPENED,Third Party Marijuana Transporter,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MT281405,Integrated Genetics and Biopharma Research LLC,Leicester,,01611,,,488 Stafford Street,,Cherry Valley,MA,01611,POINT (-71.840209 42.329642),,488 Stafford St.,,Cherry Valley,MA,01611,83-1689666,MTN281405,12/10/2018 07:15:47 PM,10/29/2019 02:58:14 PM,8/9/2019 12:00:00 AM,,,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,11/25/2018 06:12:20 PM,,,,,,,,,,,0,01611,Cherry Valley,Worcester,42.329642,-71.840209,,254
REOPENED,Marijuana Cultivator,Expedited Review - License Type,IN PROCESS,IN PROCESS,INCOMPLETE,MC283766,Country Club Ventures LLC,Greenfield,,01301,,,82 Wendell Ave.,Suite 100,Pittsfield,MA,01201,POINT (-72.573941 42.587072),,446 Country Club Road,Suite A,Greenfield,MA,01301,87-2600206,MCN283766,8/2/2022 12:48:16 PM,9/22/2022 04:04:57 PM,8/18/2022 10:37:34 AM,,,no,,,,,,,,,Not a DBE,Outdoor,"Tier 11: 90,001 to 100,000 sq. ft",,,,,,,,,,,,,7/25/2022 11:27:24 AM,,,,,,,,,,,0,01301,Greenfield,Franklin,42.587072,-72.573941,Western MA,132
REOPENED,Marijuana Product Manufacturer,Expedited Review - Two or More,IN PROCESS,IN PROCESS,INCOMPLETE,MP281774,MassPressed LLC,Worcester,,01608,,,124 West Boylston St,Unit B,Worcester,MA,01606,POINT (-71.840209 42.329642),,7 Arborwood Dr,,Worcester,MA,01604,84-3607385,MPN281774,8/21/2020 11:49:06 PM,7/12/2021 02:07:40 PM,8/26/2020 12:00:09 PM,,,no,,,,,,,,,Disability-Owned Business | Minority-Owned Business | Veteran-Owned Business | Woman-Owned Business,,,,,,,,,,,,,,,10/16/2019 10:36:46 PM,,,,,,,,,,,0,01608,Worcester,Worcester,42.329642,-71.840209,Central MA,251
REOPENED,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,PDO103612,GreenDaze,N/A,,N/A,,,52 Osborne Terrace,,Springfield,MA,01104,,,52 Osborne Terrace,,Springfield,MA,01104,87-1453004,PDOA103612,7/18/2022 01:30:46 PM,7/18/2022 01:30:46 PM,8/8/2022 01:58:01 PM,,,,SE305243,SE305243,,,,,,,Not a DBE,,,,,,,,,,,,,,,7/18/2022 01:22:46 PM,,,,,,,,,,,0,,,,,,,
REOPENED,Marijuana Retailer,Priority Review - MTC Priority,IN PROCESS,IN PROCESS,INCOMPLETE,MR283527,"Cresco HHH, LLC",Rockland,,02370,,,1 West Street,,Fall River,MA,02720,POINT (-70.818958 41.978877),,400 W. Erie,Suite 300,Chicago,IL,60654,83-2662609,MRN283527,12/28/2020 03:38:58 PM,2/15/2021 10:32:42 AM,12/30/2020 10:08:15 AM,,True,no,,,,,,APPROVED,RP201845,RPA201894,Not a DBE,,,,,,,,,,,,,,,5/15/2020 12:09:07 PM,2/19/2021 01:06:23 PM,,,,,,,,,,0,02370,Rockland,Plymouth,41.978877,-70.818958,Southeast and Cape,546
REOPENED,Marijuana Courier,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,DO100173,Safe-Lyfe LLC,Northampton,,01060,,,160 Speen Street STE 307,,Framingham,MA,01701,POINT (-72.62073 42.322256),,12 Lorenzo Street APT 3,,Boston,MA,02122,88-1649224,DOA100173,10/31/2022 10:15:29 PM,10/31/2022 10:15:29 PM,11/15/2022 03:40:52 PM,,,,SE305510,SE305510,,,,,,,Not a DBE,,,,,,,,,,,,,,,9/1/2022 01:27:57 PM,,,,,,,,,,,0,01060,Northampton,Hampshire,42.322256,-72.62073,Western MA,39
REOPENED,Marijuana Product Manufacturer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MP282259,Eagles Landed LLC,Greenfield,,01301,,,121 1/2 Wells St,,Greenfield,MA,01301,POINT (-72.573941 42.587072),,37 Dillingham Ave,,Berkley,MA,02779,00-1499943,MPN282259,4/6/2023 08:06:38 PM,4/6/2023 08:06:38 PM,4/14/2023 09:17:42 AM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,2/5/2023 08:54:28 PM,,,,,,,,,,,0,01301,Greenfield,Franklin,42.587072,-72.573941,Western MA,132
REOPENED,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC282547,Conception MA Inc.,Uxbridge,,01569,,,374 West Street,,Uxbridge,MA,01569,POINT (-71.840209 42.329642),,374 West Street,,Uxbridge,MA,01569,84-3923720,MCN282547,1/14/2020 02:15:51 PM,1/6/2023 10:52:01 AM,4/8/2020 12:00:00 AM,,,no,,,,,,,,,Not a DBE,Indoor,"Tier 11: 90,001 to 100,000 sq. ft",,,,,,,,,,,,,12/24/2019 01:31:07 PM,,,,,,,,,,,0,01569,Uxbridge,Worcester,42.329642,-71.840209,Central MA,233
